epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4174,1.7564,3.36728,2.03571,0.00326,0.97155,0.48516,0.24982,1.20863,3.51077,1.51946,0.00021671,0.00021671,0.00021671
2,69.0972,1.34464,2.15008,1.48054,0.00369,0.97177,0.54736,0.31011,1.26855,3.13179,1.49692,0.000445634,0.000445634,0.000445634
3,93.4319,1.25714,1.8131,1.38041,0.66354,0.49812,0.60821,0.32369,1.49277,2.9585,1.77983,0.000669937,0.000669937,0.000669937
4,118.897,1.29457,1.63017,1.39114,0.68515,0.69471,0.73648,0.38297,1.53341,2.11568,1.93328,0.00088962,0.00088962,0.00088962
5,140.25,1.31158,1.53,1.40222,0.74891,0.3243,0.46372,0.21077,1.6596,2.85818,1.90848,0.00110468,0.00110468,0.00110468
6,164.806,1.2994,1.41831,1.37227,0.42342,0.41049,0.37306,0.20925,1.83227,2.75303,2.07456,0.00131512,0.00131512,0.00131512
7,187.879,1.30041,1.34559,1.37386,0.40652,0.52625,0.38305,0.15719,2.01478,7.22016,2.86807,0.00152094,0.00152094,0.00152094
8,211.2,1.29881,1.23432,1.35554,0.73199,0.63399,0.66795,0.3521,1.71455,2.74461,2.17959,0.00155148,0.00155148,0.00155148
9,235.189,1.36019,1.23098,1.38071,0.61184,0.67167,0.62144,0.304,1.69142,2.10551,1.96135,0.00153497,0.00153497,0.00153497
10,258.457,1.28442,1.13668,1.33798,0.31921,0.51398,0.45345,0.19871,1.92366,2.47125,2.00576,0.00151847,0.00151847,0.00151847
11,282.517,1.31348,1.08929,1.34905,0.68274,0.70775,0.69592,0.38173,1.47624,1.73123,1.7752,0.00150197,0.00150197,0.00150197
12,304.983,1.24876,1.01527,1.31798,0.81553,0.67732,0.70512,0.33977,1.81446,1.87117,2.19074,0.00148546,0.00148546,0.00148546
13,328.906,1.24938,0.95296,1.3021,0.62679,0.64415,0.62509,0.34447,1.59973,2.1765,1.83022,0.00146896,0.00146896,0.00146896
14,350.744,1.20601,0.93435,1.28583,0.74141,0.62715,0.62789,0.40731,1.31856,1.90744,1.4885,0.00145246,0.00145246,0.00145246
15,375.02,1.21759,0.95232,1.2804,0.76233,0.66199,0.69631,0.44527,1.30006,1.74088,1.43476,0.00143595,0.00143595,0.00143595
