epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9639,2.33592,4.65175,2.47854,0.28466,0.50591,0.27882,0.10273,1.65589,7.08032,1.94234,0.00021671,0.00021671,0.00021671
2,56.9519,1.46149,2.08589,1.58159,0.43436,0.67555,0.42958,0.22349,1.51912,3.36424,1.68372,0.000447119,0.000447119,0.000447119
3,76.0702,1.41594,1.64099,1.52242,0.37682,0.68045,0.34185,0.08068,2.37076,68.5212,3.62137,0.000674448,0.000674448,0.000674448
4,97.5947,1.4939,1.49784,1.53408,0.13034,0.81281,0.13737,0.06031,1.71881,202.064,3.92155,0.000898696,0.000898696,0.000898696
5,117.786,1.43118,1.3486,1.51514,0.50966,0.48039,0.0103,0.00504,2.16004,211.466,5.50967,0.00111986,0.00111986,0.00111986
6,138.048,1.4279,1.38469,1.51771,0.1692,0.73621,0.14497,0.05848,2.0773,90.8627,3.90126,0.00133795,0.00133795,0.00133795
7,159.982,1.477,1.34998,1.51619,0.19618,0.38388,0.13699,0.04417,2.80481,38.2362,6.35579,0.00155296,0.00155296,0.00155296
8,180.328,1.48109,1.3848,1.54085,0.14629,0.12316,0.05147,0.01197,3.13714,12.4956,3.95564,0.00158998,0.00158998,0.00158998
9,208.536,1.40371,1.28947,1.50005,0.15708,0.52635,0.08152,0.02167,2.81625,85.3525,4.31345,0.00157898,0.00157898,0.00157898
10,228.174,1.45036,1.34654,1.50429,0.27557,0.49142,0.22867,0.10931,2.01235,32.5559,3.03046,0.00156798,0.00156798,0.00156798
11,249.257,1.40255,1.23558,1.487,0.65509,0.79228,0.73175,0.38903,1.53842,5.31853,2.08906,0.00155698,0.00155698,0.00155698
12,269.352,1.374,1.18526,1.4806,0.55458,0.72702,0.55233,0.25653,1.76568,7.8223,2.3356,0.00154598,0.00154598,0.00154598
13,291.127,1.41342,1.18781,1.47108,0.60134,0.45588,0.47661,0.2584,1.54624,2.86356,1.70567,0.00153497,0.00153497,0.00153497
14,312.39,1.36125,1.18563,1.45899,0.75404,0.69792,0.69923,0.40986,1.44024,2.72904,1.68081,0.00152397,0.00152397,0.00152397
15,332.641,1.32412,1.12587,1.42103,0.66361,0.73346,0.70006,0.32643,1.87881,3.65041,2.32674,0.00151297,0.00151297,0.00151297
16,352.956,1.35544,1.13725,1.45167,0.75597,0.55086,0.63394,0.33725,1.52961,1.60223,1.69496,0.00150197,0.00150197,0.00150197
17,373.392,1.30767,1.0678,1.4076,0.835,0.70965,0.85831,0.48878,1.49646,2.77672,1.67883,0.00149096,0.00149096,0.00149096
18,395.553,1.2826,1.05765,1.37541,0.82069,0.88695,0.87573,0.52008,1.41958,1.13379,1.57883,0.00147996,0.00147996,0.00147996
19,415.682,1.29944,1.0815,1.39764,0.83191,0.81807,0.86131,0.5499,1.27266,0.97789,1.439,0.00146896,0.00146896,0.00146896
20,436.417,1.29965,1.09994,1.40658,0.79497,0.877,0.89886,0.55368,1.28427,1.02302,1.52132,0.00145796,0.00145796,0.00145796
21,457.799,1.2802,1.04865,1.39201,0.81111,0.87985,0.87863,0.53862,1.30748,0.92391,1.48714,0.00144696,0.00144696,0.00144696
22,477.543,1.28715,1.01529,1.38698,0.79837,0.82261,0.87451,0.53331,1.40027,0.96004,1.50018,0.00143595,0.00143595,0.00143595
23,499.26,1.20915,0.952,1.35312,0.8028,0.86356,0.87697,0.53879,1.3375,0.91991,1.48337,0.00142495,0.00142495,0.00142495
24,519.79,1.2205,0.94917,1.35277,0.84188,0.76983,0.79146,0.47783,1.42756,1.8327,1.53553,0.00141395,0.00141395,0.00141395
25,540.14,1.24002,1.00429,1.37844,0.89232,0.85141,0.90145,0.57381,1.28578,0.91683,1.46888,0.00140295,0.00140295,0.00140295
26,560.861,1.22373,0.98248,1.354,0.88028,0.91126,0.92873,0.52268,1.51736,0.7663,1.61474,0.00139195,0.00139195,0.00139195
27,581.728,1.23526,0.9645,1.35054,0.83197,0.85844,0.87434,0.55451,1.23299,0.95143,1.4332,0.00138094,0.00138094,0.00138094
28,603.454,1.21095,0.96997,1.3472,0.8464,0.88756,0.91401,0.57554,1.28163,0.7702,1.43156,0.00136994,0.00136994,0.00136994
29,624.481,1.23079,0.93884,1.36205,0.85259,0.87083,0.90013,0.57354,1.26212,0.87567,1.43378,0.00135894,0.00135894,0.00135894
30,646.704,1.22106,0.96193,1.33946,0.86049,0.76685,0.87083,0.55497,1.29535,0.83746,1.47311,0.00134794,0.00134794,0.00134794
31,668.458,1.21185,0.93732,1.34051,0.89887,0.85049,0.93595,0.5719,1.31093,0.7087,1.45269,0.00133693,0.00133693,0.00133693
32,689.263,1.22295,0.93333,1.35363,0.69948,0.87206,0.85991,0.55794,1.24387,1.01387,1.40856,0.00132593,0.00132593,0.00132593
33,711.619,1.16945,0.90655,1.31786,0.75543,0.86071,0.87372,0.52792,1.37092,0.96182,1.55339,0.00131493,0.00131493,0.00131493
34,732.439,1.18998,0.89041,1.32324,0.87199,0.92157,0.91066,0.56566,1.30646,0.76153,1.45886,0.00130393,0.00130393,0.00130393
35,754.622,1.15654,0.89959,1.31097,0.83673,0.84357,0.89462,0.54925,1.34945,0.85221,1.49234,0.00129293,0.00129293,0.00129293
36,775.92,1.18687,0.94079,1.32983,0.89642,0.87653,0.90547,0.60307,1.20544,0.70489,1.37527,0.00128192,0.00128192,0.00128192
37,799.582,1.15153,0.88345,1.31182,0.89046,0.88046,0.93419,0.61008,1.21982,0.68937,1.43814,0.00127092,0.00127092,0.00127092
38,821.202,1.20526,0.91503,1.35308,0.86241,0.91458,0.91354,0.57764,1.31597,0.70687,1.4708,0.00125992,0.00125992,0.00125992
39,842.765,1.15652,0.8766,1.30085,0.86493,0.89246,0.91622,0.59042,1.24121,0.71292,1.40592,0.00124892,0.00124892,0.00124892
40,864.616,1.16959,0.88777,1.32523,0.88922,0.89959,0.93458,0.59894,1.2996,0.71003,1.43196,0.00123791,0.00123791,0.00123791
41,885.004,1.22762,0.95457,1.37261,0.9137,0.91429,0.95259,0.60939,1.23652,0.62272,1.44199,0.00122691,0.00122691,0.00122691
42,906.747,1.15431,0.85636,1.29927,0.89718,0.91391,0.944,0.62437,1.2459,0.6493,1.4158,0.00121591,0.00121591,0.00121591
43,929.271,1.15256,0.83269,1.29931,0.87193,0.90697,0.93653,0.5752,1.31295,0.68492,1.45559,0.00120491,0.00120491,0.00120491
44,949.315,1.14125,0.86313,1.28484,0.89565,0.91149,0.94601,0.62573,1.23922,0.61257,1.40192,0.00119391,0.00119391,0.00119391
45,970.002,1.15735,0.84786,1.30809,0.88708,0.91881,0.94068,0.61656,1.22874,0.62454,1.39691,0.0011829,0.0011829,0.0011829
46,990.909,1.16149,0.86518,1.32545,0.83958,0.8592,0.87457,0.51114,1.53879,0.85863,1.61673,0.0011719,0.0011719,0.0011719
47,1012.2,1.13617,0.85478,1.31668,0.88504,0.8878,0.90347,0.61427,1.17664,0.72093,1.36422,0.0011609,0.0011609,0.0011609
48,1032.82,1.10915,0.81997,1.27973,0.88655,0.88756,0.90557,0.55395,1.39108,0.75383,1.5031,0.0011499,0.0011499,0.0011499
49,1054.71,1.13771,0.83786,1.30053,0.86101,0.90319,0.9198,0.60248,1.24083,0.72805,1.3861,0.00113889,0.00113889,0.00113889
50,1074.87,1.14865,0.82082,1.31324,0.88249,0.94539,0.95515,0.61105,1.295,0.59368,1.42328,0.00112789,0.00112789,0.00112789
51,1096.06,1.18203,0.87959,1.31563,0.9144,0.90743,0.93642,0.62519,1.19839,0.68933,1.36718,0.00111689,0.00111689,0.00111689
52,1117.96,1.12143,0.84525,1.29642,0.89041,0.94036,0.95454,0.62418,1.21935,0.60497,1.39642,0.00110589,0.00110589,0.00110589
53,1138.09,1.11786,0.79623,1.28378,0.90386,0.95925,0.96004,0.64223,1.20128,0.55367,1.36443,0.00109489,0.00109489,0.00109489
54,1161.63,1.11602,0.81143,1.27644,0.8668,0.93934,0.93321,0.63266,1.16569,0.57721,1.34491,0.00108388,0.00108388,0.00108388
55,1181.04,1.10597,0.84467,1.26568,0.90366,0.93491,0.95787,0.64586,1.18644,0.59745,1.37632,0.00107288,0.00107288,0.00107288
56,1204.59,1.10917,0.80806,1.2807,0.9219,0.90778,0.95132,0.62001,1.24809,0.59216,1.41599,0.00106188,0.00106188,0.00106188
57,1224.36,1.11441,0.82687,1.28045,0.91702,0.95895,0.95917,0.64225,1.18781,0.5807,1.37039,0.00105088,0.00105088,0.00105088
58,1248.67,1.07878,0.78422,1.25583,0.89028,0.86918,0.94067,0.63183,1.20036,0.69373,1.36323,0.00103987,0.00103987,0.00103987
